transect_id,distance_m,stand_type,stems_count_10x10,dbh1_mm,dbh2_mm,dbh3_mm,dbh4_mm,dbh5_mm,wind_ms,temp_c,rh_pct,notes
GGFT_1,20,deciduous,4,1225,395,1025,980,,0,17.2,62.2,
GGFT_1,40,deciduous,9,1625,840,85,115,1130,0,19.4,61.2,
GGFT_1,60,deciduous,10,1285,590,1130,85,985,0,17.5,66.9,
GGFT_1,80,deciduous,3,620,1070,600,,,0,16.3,71.6,
GGFT_1,100,deciduous,5,560,135,1645,2150,1370,0,15.4,75.5,
GGFT_2,20,deciduous,16,175,365,375,585,60,0.4,15.5,68,
GGFT_2,40,deciduous,20,470,440,1020,120,100,0.3,18.1,61.1,
GGFT_2,60,deciduous,11,342,310,375,410,135,0,21.5,66.6,
GGFT_2,80,deciduous,6,635,1260,570,1030,60,0,19.2,67.8,
GGFT_2,100,deciduous,7,320,220,385,270,440,0.8,19.5,59.3,
DFT_1,20,deciduous,12,275,210,295,100,2700,0.3,18.4,55.6,
DFT_1,40,deciduous,11,765,105,60,440,30,0,19.4,58.8,
DFT_1,60,deciduous,31,80,320,30,770,70,0.5,18.5,52.5,
DFT_1,80,deciduous,13,80,1330,70,1720,1200,0.3,23.2,50.5,
DFT_1,100,deciduous,22,110,265,90,155,55,0,21.9,50.8,
DFT_2,20,deciduous,2,2250,4930,,,,0,13.9,69.8,
DFT_2,40,deciduous,2,3230,2250,,,,0.4,14.4,67.2,
DFT_2,60,deciduous,1,3500,,,,,0,15.6,73.8,
DFT_2,80,deciduous,2,2930,3040,,,,0,15.3,69.1,
DFT_2,100,deciduous,1,2800,,,,,0,15.7,67,
DFT_3,20,deciduous,3,2530,1005,545,,,0,19.4,61.4,
DFT_3,40,deciduous,1,332,,,,,0.4,16.3,66.6,
DFT_3,60,deciduous,1,1315,,,,,0,16.5,69,
DFT_3,80,deciduous,2,2095,3040,,,,0,18.6,62.8,
DFT_3,100,deciduous,4,1775,30,500,305,,0,16.4,62.1,
DHFT_1,20,deciduous,18,340,80,550,455,978,0,18.2,76,
DHFT_1,40,deciduous,12,382,10,428,60,825,0,19.6,70.4,
DHFT_1,60,deciduous,16,390,340,320,738,122,0,17.4,74.4,
DHFT_1,80,deciduous,52,138,482,45,1052,202,0,20,69.5,
DHFT_1,100,deciduous,37,386,70,395,125,54,0,17.2,83.6,
